track_id,track_name,artists,genre,track_genre,mood_list,activity_list,tempo,danceability,energy,valence,acousticness,instrumentalness,speechiness,liveness,loudness,duration_ms,popularity
0At6u6PcgTPEj9jYZakh2L,Life,Simon Wester,Chill,ambient,Sad;Calm,studying;sleep,173.83,0.395,0.0782,0.0798,0.988,0.905,0.0414,0.104,-23.023,197943,39
57u1FaZlztApkcT5x5XNuD,YASASHISA,Fujii Kaze,Pop,j-pop,Dark,workout;commute;driving,133.858,0.596,0.707,0.262,0.111,0.0,0.049,0.0926,-6.825,240080,53
4MEe0BmJyrA5cHW6ILOQJl,Anachronism,Crywolf,EDM,dubstep,Sad;Dark;Chill,commute;driving,110.002,0.459,0.543,0.0718,0.132,0.0265,0.0309,0.0932,-7.003,335500,39
6obBx07c3W9S8HrMXarqUb,"Coppélia: Coppélia, Act III: Galop final","Léo Delibes;Orchestra of the Royal Opera House, Covent Garden;Mark Ermler",Classical,opera,Calm;Chill;Nostalgic,studying,159.072,0.299,0.337,0.396,0.947,0.916,0.0506,0.113,-17.328,172840,28
5RiGyZADw9PYFrNAmhWIGa,"Les fêtes d'Hébé, RCT 41, Act I Scene 5: Je vous revois, tout cède à la douceur extrême",Jean-Philippe Rameau;Olivia Doray;Reinoud Van Mechelen;Orfeo Orchestra;Gyorgy Vashegyi,Classical,opera,Sad;Calm,studying;sleep,85.748,0.405,0.125,0.243,0.914,0.0,0.0497,0.34,-21.547,67760,22
6abSq0hivs5RJtraGRKKhS,Descarga La Moderna,Ray Barretto,Latin,salsa,Happy,commute;cooking;driving,113.211,0.703,0.51,0.858,0.8,0.394,0.0454,0.0879,-13.915,266600,0
4boMVRx4bLslz2aB5EgSDh,Wildflowers,Stanton Lanier,Chill,new-age,Sad;Calm,studying;sleep,98.386,0.311,0.15,0.0385,0.957,0.893,0.0415,0.0777,-21.73,422880,21
3DQB2U5mrevogzSTMJjwHX,Colômbia,Mc Kanhoto;MC Cebezinho;Mc Kadu,R&B,funk,Calm,commute,159.983,0.724,0.374,0.83,0.149,0.0,0.142,0.31,-13.784,228000,46
7piKDEjJ5IodOee9jM5PJ5,Kaasikku Pogum,Sirkazhi Govindarajan,Classical,classical,Happy;Chill,commute;cooking;driving,113.872,0.438,0.599,0.819,0.882,0.0,0.0717,0.434,-10.558,352120,31
3XKjZcgNYtvCmBpE1nX7Wn,"I am not a woman, I'm a god",Halsey,Pop,indie-pop,Happy,commute;cooking;driving,179.986,0.517,0.7,0.518,0.00375,0.0385,0.0452,0.0634,-6.568,176413,63
3t2LAmQsVGxY3MBlLao4oA,Roubou Meu Coração,Mc Kevin,R&B,funk,Motivated,commute;party,85.001,0.756,0.745,0.545,0.56,0.0,0.052,0.0785,-0.791,189176,48
0ct4oo3yaYWUbnT1OgvBlc,Napule è,Luciano Pavarotti;Pino Daniele,Classical,opera,Sad;Calm;Chill,studying;commute,119.787,0.31,0.351,0.266,0.881,0.0337,0.0358,0.951,-10.87,256786,21
5OotwkHgMpNYfsCwAOs4jP,Private Party,Anirudh Ravichander;Jonita Gandhi,Hip-Hop,hip-hop,Happy;Energetic;Motivated,workout;party,124.031,0.861,0.886,0.898,0.182,1.29e-06,0.122,0.0559,-5.413,216774,63
7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,Van Halen,Rock,hard-rock,Happy;Energetic;Motivated,workout;driving,129.981,0.572,0.835,0.795,0.171,0.000377,0.0317,0.0702,-6.219,241599,78
5Mm2tDgfdyaXhR3WqQykrf,起风了,吳青峰,Pop,mandopop,Calm;Romantic;Chill;Nostalgic,commute,73.963,0.548,0.396,0.501,0.484,0.0,0.0265,0.144,-7.788,313565,54
1YbVxHsVtPlWfcLZV9Dd6F,Kereon,Yann Tiersen;Alessandro Simonetto,Chill,ambient,Sad;Calm,studying;sleep,58.582,0.315,0.0392,0.0606,0.989,0.88,0.0385,0.0821,-27.539,152597,18
3Vmo13MxVRKBszmfK61ONH,Gangsta,Karan Aujla;YG,Hip-Hop,hip-hop,Happy,commute;party;cooking;driving,130.154,0.791,0.687,0.513,0.00665,2.12e-06,0.104,0.0986,-6.279,190153,72
4tlaJa7CjOTsLSwqYkk2cV,My Way,Elvis Presley,Rock,rockabilly,Sad;Calm,studying;sleep,102.036,0.516,0.271,0.207,0.864,0.037,0.0267,0.171,-12.138,273893,53
56wJwDGoTKNeM9yKo4EmFB,Morning Has Broken,Phil Coulter;Trad Arr,Classical,opera,Sad;Calm;Chill,studying,113.284,0.479,0.336,0.261,0.952,0.877,0.0316,0.0923,-9.361,171160,20
52173U8Lw9eFYIQUGZUpQT,Feel Inside,D-Block & S-te-Fan,EDM,hardstyle,Energetic;Dark,workout,149.955,0.549,0.921,0.261,0.00734,7.37e-05,0.0636,0.184,-1.185,195200,58
1SaeIOdNmwLaC8OH893sga,Panda,Ilkae,EDM,idm,Sad;Calm,studying;sleep,75.0,0.448,0.016,0.181,0.965,0.949,0.0578,0.108,-24.127,74853,10
38nzEcvHjV3iRLAlq6tQJO,秋の終,neguse.,Pop,j-pop,Energetic;Motivated,workout;driving,185.682,0.387,0.843,0.625,0.00287,0.0,0.0523,0.367,-3.44,225960,37
45ffClKkj594CkU0naaLrM,Way Out,Jack Harlow;Big Sean,Hip-Hop,hip-hop,Happy,commute;cooking;driving,108.025,0.945,0.582,0.907,0.114,0.0,0.0719,0.103,-8.357,168906,0
53Ei3aztvzMHlD2mOYXwnu,Nietykalni,Papa Dance,Pop,synth-pop,Happy;Energetic;Motivated,workout,210.175,0.451,0.913,0.792,0.375,1.72e-05,0.0419,0.25,-6.201,291160,23
79i617mqpQLwUs3WTokYX9,toxin,Benedixhion,Rock,emo,Sad;Dark;Chill,studying;commute;driving,175.94,0.53,0.545,0.148,0.000418,0.801,0.0492,0.115,-7.951,130893,53
18rmNlzEWr9DmYM0iBNUAl,風,Yamazaru,Pop,j-pop,Energetic;Motivated,workout,161.968,0.437,0.961,0.619,0.0599,0.0,0.125,0.367,-1.91,249200,50
7cgpn5IRAcVVVNOfOMlkPI,Hagoromo,Susumu Yokota,EDM,idm,Sad;Calm,studying;sleep,71.114,0.236,0.0964,0.16,0.995,0.916,0.0579,0.0855,-22.262,232493,15
2ZwjgC6JSTllAAY2lJFXQg,"String Quartet No. 9 in A, K.169: 4. Rondeaux (Allegro)",Wolfgang Amadeus Mozart;Hagen Quartett,Classical,classical,Calm,studying;sleep,125.6,0.448,0.113,0.792,0.979,0.878,0.0501,0.1,-22.262,90053,5
4yXtr9EDjYlOgMlrVLx9cA,Dos Locos (Tontos e Loucos) / Novo Namorado,Solange Almeida,Latin,forro,Happy;Energetic;Motivated,workout,177.785,0.68,0.865,0.689,0.123,0.0,0.134,0.608,-4.17,178651,43
7Ga7gr19pLBdso1O2w0Alp,La Perdiste,ZAPEROKO La Resistencia Salsera del Callao,Latin,salsa,Happy;Energetic;Motivated,workout;driving,195.879,0.675,0.812,0.94,0.525,8.83e-05,0.0389,0.192,-5.104,250590,28
4qJRHweiDSSpGDZ4yB9V5J,Mete Seu Cachorro,La Furia,R&B,funk,Happy;Energetic;Motivated,workout;driving,137.559,0.607,0.755,0.707,0.75,0.00772,0.0446,0.168,-5.324,298280,52
2PCTrOWob0vs0io6pfGOYS,Once Upon a December (from Anastasia),Emile Pandolfi,Chill,new-age,Sad;Calm,studying;sleep,72.718,0.239,0.173,0.131,0.981,0.929,0.0362,0.16,-19.353,252253,55
4NjCELMhlCnceQMnb80ggL,"Tubular Bells - Opening Theme / From ""The Exorcist""",Mike Oldfield,Chill,new-age,Calm;Nostalgic,studying;sleep,147.198,0.325,0.266,0.385,0.803,9.29e-05,0.0298,0.0997,-16.968,196680,1
2yKC5fumXaOyhZ0Uu67BcO,A New Dawn,Pional,EDM,minimal-techno,Happy,commute;cooking;driving,110.998,0.84,0.532,0.525,0.0134,0.188,0.0469,0.128,-10.569,220205,50
4qZh3yJ7tILlDD0Wmv7Ftj,"String Quartet No. 3, ""Mishima"": VI. Mishima / Closing",Philip Glass;Carducci String Quartet,Chill,ambient,Sad;Calm,studying;sleep,136.392,0.198,0.0382,0.127,0.989,0.969,0.0443,0.17,-29.885,194373,57
1IaviELtBuKW4nzGaRU4X8,"12 Variations on ‘La belle Françoise’ in E flat, K.353: 12b. Variation XI : Adagio - Pt. 2",Wolfgang Amadeus Mozart;Danielle Laval,Classical,classical,Calm;Nostalgic,studying;sleep,132.919,0.428,0.0349,0.354,0.995,0.951,0.0623,0.155,-25.31,91200,2
